seq_id,tm
31390,0.050796557
31391,0.05079655
31392,0.050796557
31393,0.050796557
31394,0.050796557
31395,0.050796557
31396,0.050796557
31397,0.05079655
31398,0.050796557
31399,0.050796557
31400,0.05079655
31401,0.050796557
31402,0.050796557
31403,0.050796565
31404,0.050796557
31405,0.050796557
31406,0.050796557
31407,0.050796557
31408,0.050796557
31409,0.050796557
31410,0.050796557
31411,0.050796557
31412,0.050796557
31413,0.050796557
31414,0.050796557
31415,0.050796557
31416,0.05079655
31417,0.050796557
31418,0.050796557
31419,0.050796557
31420,0.050796557
31421,0.050796557
31422,0.050796557
31423,0.050796557
31424,0.050796557
31425,0.05079655
31426,0.050796557
31427,0.050796557
31428,0.050796557
31429,0.05079655
31430,0.050796557
31431,0.050796557
31432,0.050796557
31433,0.050796557
31434,0.050796557
31435,0.050796557
31436,0.050796557
31437,0.050796557
31438,0.050796557
31439,0.050796557
31440,0.050796557
31441,0.050796557
31442,0.05079655
31443,0.050796557
31444,0.050796557
31445,0.050796557
31446,0.050796557
31447,0.05079655
31448,0.050796557
31449,0.050796557
31450,0.050796557
31451,0.050796557
31452,0.050796557
31453,0.050796557
31454,0.050796557
31455,0.050796557
31456,0.050796557
31457,0.050796557
31458,0.050796542
31459,0.05079655
31460,0.050796557
31461,0.050796557
31462,0.050796565
31463,0.050796557
31464,0.050796557
31465,0.050796557
31466,0.050796557
31467,0.050796557
31468,0.050796557
31469,0.05079655
31470,0.05079655
31471,0.05079655
31472,0.050796557
31473,0.05079655
31474,0.050796557
31475,0.050796557
31476,0.050796557
31477,0.050796557
31478,0.050796557
31479,0.050796557
31480,0.050796557
31481,0.050796557
31482,0.050796557
31483,0.05079655
31484,0.050796557
31485,0.050796557
31486,0.05079655
31487,0.050796542
31488,0.050796557
31489,0.050796557
31490,0.050796565
31491,0.050796572
31492,0.050796557
31493,0.050796557
31494,0.050796557
31495,0.050796557
31496,0.050796557
31497,0.050796557
31498,0.050796557
31499,0.050796557
31500,0.05079655
31501,0.050796557
31502,0.050796557
31503,0.050796557
31504,0.050796557
31505,0.050796557
31506,0.050796557
31507,0.050796557
31508,0.050796557
31509,0.05079655
31510,0.050796557
31511,0.050796557
31512,0.050796557
31513,0.050796557
31514,0.050796557
31515,0.050796557
31516,0.050796542
31517,0.050796557
31518,0.050796557
31519,0.050796557
31520,0.05079655
31521,0.050796557
31522,0.050796557
31523,0.050796557
31524,0.050796557
31525,0.050796557
31526,0.05079655
31527,0.050796557
31528,0.050796557
31529,0.050796557
31530,0.050796557
31531,0.050796557
31532,0.05079655
31533,0.050796557
31534,0.050796557
31535,0.050796557
31536,0.050796557
31537,0.050796557
31538,0.050796557
31539,0.050796557
31540,0.050796557
31541,0.050796557
31542,0.050796557
31543,0.050796557
31544,0.050796557
31545,0.050796557
31546,0.050796557
31547,0.05079655
31548,0.050796557
31549,0.050796557
31550,0.050796557
31551,0.050796565
31552,0.050796557
31553,0.050796557
31554,0.050796557
