seq_id,tm
31390,44.91605
31391,46.221848
31392,45.069885
31393,45.158367
31394,45.072876
31395,44.950253
31396,45.065563
31397,44.85739
31398,44.950253
31399,44.77882
31400,44.876934
31401,44.86041
31402,45.00745
31403,44.782143
31404,44.804447
31405,44.879543
31406,44.914104
31407,45.422894
31408,45.55333
31409,44.55661
31410,45.010517
31411,44.834713
31412,44.950253
31413,44.85168
31414,44.315105
31415,44.97945
31416,44.74877
31417,44.844147
31418,44.74252
31419,45.049644
31420,44.950253
31421,44.950253
31422,44.799095
31423,44.950253
31424,44.950253
31425,44.923794
31426,44.950253
31427,44.450222
31428,45.298523
31429,44.842323
31430,45.001385
31431,44.950253
31432,45.511276
31433,44.657467
31434,44.657467
31435,44.950253
31436,46.8861
31437,45.438267
31438,45.032833
31439,44.950253
31440,44.6041
31441,45.198334
31442,44.700493
31443,44.950253
31444,44.950253
31445,44.726833
31446,45.51305
31447,44.82616
31448,44.857903
31449,44.21953
31450,44.950253
31451,44.86041
31452,44.950253
31453,44.63931
31454,45.185394
31455,44.98622
31456,45.355137
31457,45.142178
31458,44.95391
31459,44.362152
31460,44.874138
31461,44.643475
31462,45.882378
31463,45.152706
31464,44.902485
31465,45.98924
31466,45.255604
31467,44.950253
31468,45.871113
31469,44.840336
31470,45.014942
31471,44.950253
31472,44.950253
31473,44.950253
31474,45.001446
31475,44.950253
31476,44.84775
31477,46.44481
31478,44.6041
31479,44.950253
31480,45.30285
31481,44.901554
31482,44.67269
31483,46.44481
31484,45.17814
31485,44.950253
31486,46.973907
31487,44.829742
31488,45.800537
31489,51.026722
31490,44.950253
31491,44.950253
31492,44.805794
31493,44.895893
31494,45.55557
31495,44.88754
31496,48.306194
31497,44.8401
31498,44.950253
31499,44.891983
31500,44.950253
31501,46.011593
31502,45.54842
31503,44.931396
31504,44.950253
31505,45.54842
31506,44.950253
31507,45.298523
31508,44.950253
31509,44.950253
31510,44.950253
31511,44.97945
31512,44.829742
31513,44.99094
31514,49.212063
31515,46.212543
31516,44.98661
31517,45.133385
31518,44.265087
31519,51.026722
31520,44.83878
31521,45.11188
31522,44.97128
31523,44.457848
31524,44.950253
31525,44.972363
31526,46.78004
31527,45.11188
31528,43.761246
31529,45.142178
31530,44.950253
31531,44.950253
31532,45.067883
31533,44.360004
31534,44.975384
31535,44.950253
31536,45.10231
31537,44.950253
31538,44.84452
31539,46.140358
31540,44.950253
31541,45.988743
31542,44.809372
31543,44.91701
31544,46.763554
31545,44.950253
31546,44.459408
31547,44.485104
31548,45.38867
31549,44.950253
31550,49.212063
31551,45.004723
31552,44.821774
31553,44.950253
31554,44.950253
31555,44.950253
31556,44.950253
31557,44.950253
31558,45.105236
31559,44.701702
31560,45.0903
31561,46.019394
31562,44.99184
31563,44.315105
31564,46.065773
31565,44.889484
31566,45.001446
31567,44.977497
31568,45.306343
31569,44.789265
31570,45.056126
31571,44.63327
31572,45.10352
31573,44.837425
31574,44.950253
31575,45.006695
31576,46.25664
31577,44.950253
31578,46.316433
31579,44.39702
31580,45.022587
31581,44.75896
31582,44.821774
31583,44.950253
31584,44.606373
31585,44.950253
31586,44.881733
31587,45.102974
31588,46.019386
31589,44.39432
31590,44.95702
31591,44.827946
31592,44.950253
31593,44.950253
31594,46.763554
31595,44.315105
31596,44.820286
31597,45.292072
31598,48.306187
31599,44.68076
31600,44.76871
31601,45.07806
31602,45.014942
31603,44.57239
31604,44.950253
31605,45.07826
31606,44.56427
31607,44.950253
31608,44.950253
31609,45.07806
31610,44.714546
31611,44.950253
31612,44.950253
31613,48.972538
31614,45.19695
31615,44.691154
31616,44.687824
31617,44.950253
31618,44.74272
31619,45.089798
31620,44.950253
31621,45.74949
31622,45.11915
31623,44.71548
31624,44.950253
31625,44.950253
31626,44.57842
31627,44.975384
31628,44.879543
31629,45.555565
31630,45.482693
31631,45.039738
31632,44.950253
31633,44.625816
31634,45.236317
31635,44.731808
31636,44.986217
31637,45.22833
31638,44.950253
31639,44.517803
31640,44.950253
31641,45.13261
31642,45.228256
31643,44.950253
31644,43.761246
31645,46.8861
31646,44.950253
31647,45.01349
31648,44.904373
31649,46.4844
31650,44.8955
31651,45.128567
31652,45.089344
31653,44.762127
31654,45.98924
31655,44.63239
31656,44.950253
31657,45.09493
31658,44.149166
31659,46.314972
31660,43.875706
31661,45.289345
31662,44.82028
31663,46.140358
31664,44.977596
31665,45.15704
31666,44.950253
31667,46.224583
31668,45.43263
31669,44.354534
31670,45.02043
31671,45.056126
31672,46.459545
31673,44.917267
31674,45.775513
31675,44.950253
31676,45.336426
31677,44.86537
31678,44.950253
31679,44.829742
31680,46.217533
31681,44.91197
31682,44.666073
31683,44.950253
31684,44.950253
31685,44.950253
31686,46.011593
31687,45.72011
31688,44.451683
31689,45.567257
31690,45.197186
31691,44.799095
31692,45.120026
31693,44.950253
31694,44.975384
31695,47.510204
31696,44.149166
31697,44.842327
31698,45.10296
31699,44.950253
31700,44.94664
31701,44.968525
31702,44.956837
31703,44.917267
31704,44.950253
31705,44.63012
31706,44.950253
31707,44.950253
31708,46.065773
31709,45.83824
31710,44.950253
31711,45.10296
31712,44.950253
31713,44.950253
31714,45.375835
31715,44.62952
31716,44.902485
